date,aircraft,notablePeople,totalMissing,aircrafttype,incidentType,location,coordinates,memorial,remarks,dateClean,context
1856-06-28 !28 Dec 1856,*Ville de Paris*,Matias Perez,1,"balloon, hot air !Hot air balloon",Unknown,"Florida, Straits of !Straits of Florida north of Havana, Cuba",Unknown,x !,Cuban expression: *Voló como Matías Pérez*.,1856-06-28,Free balloon flight
1879-09-28 !28 Sep 1879,*Pathfinder*,"Wise, John ! 
John Wise",1,"balloon, hydrogen !Hydrogen balloon",Unknown,"Michigan, Lake !Lake Michigan","42°04′N 87°56′W﻿ / ﻿42.07°N 87.93°W﻿ / 42.07; -87.93 (position of last 
sighting)",x !,Body of sole passenger recovered from Lake Michigan.,1879-09-28,Free balloon flight
1881-12-10 !10 Dec 1881,*Saladin*,"Powell, Walter !Walter Powell",1,"balloon, hydrogen !Hydrogen balloon",Loss of control,"Dorset ! Eype Mouth, west of Bridport, Dorset",50°43′N 2°47′W﻿ / ﻿50.72°N 2.78°W﻿ / 50.72; -2.78,x !,MP for Malmesbury when he disappeared.,1881-12-10,Free balloon flight
1908-10-17 !17 Oct 1908,*Pampero*,"Newbery, Eduardo !Eduardo Newbery
Eduardo Romero",2,"balloon, coal gas !Coal gas balloon",Unknown,"Plate, River !River Plate, Argentina",34°27′S 58°24′W﻿ / ﻿34.45°S 58.40°W﻿ / -34.45; -58.40,x !,First Argentines ever to perish in an aircraft accident,1908-10-17,Free balloon flight (night navigation exercise)
1910-10-18 !18 Oct 1910,*America*,x !,0,Airship19101018 !Non-rigid airship,Abandonment,"Bermuda !N Atlantic, west of Bermuda",Unknown,x !,Occupants rescued by merchant vessel.,1910-10-18,Attempted 1st transatlantic flight
1910-12-22 !22 Dec 1910,S.29/Cecil Grace No. 3,"Grace, Cecil !Cecil Grace",1,Short S.27,Unknown,English Channel *en route* from Calais to Dover,Unknown,x !,"Returning from unsuccessful attempt at Baron de Forest Prize. Body possibly 
found on 14 March 1911.",1910-12-22,Private flight
1911-06-05 !5 Jun 1911,x !,"Bague, Edouard Jean !Édouard Bague",1,Blériot XI monoplane,Unknown,"Antibes, Cap d' !Mediterranean, near Cap d'Antibes",Unknown,x !,"Roland Garros made 1st trans-Mediterranean flight, 13 Sep 1913.",1911-06-05,Attempted 1st flight across Mediterranean
1912-04-18 !18 Apr 1912,x !,"Allen, Damer Leslie ! 
Damer Leslie Allen",1,Blériot XI monoplane,Unknown,"Irish Sea, west of Anglesey",Unknown,x !,Competing with Denys Corbett Wilson.,1912-04-18,Attempted 1st flight from Wales to Ireland
1913-10-13 !13 Oct 1913,x !,"Jewell, Albert ! 
Albert Jewell",1,Moisant-Blériot monoplane,Unknown,"New York !N Atlantic, off Long Island, NY, USA",40°29′N 73°47′W﻿ / ﻿40.48°N 73.79°W﻿ / 40.48; -73.79 (approx.),x !,Intended to compete in the *New York Times* American Aerial Derby.,1913-10-13,"Ferry/repositioning (Hempstead, Long I. to Oakwood, Staten I., 
NY to join air race)"
1914-03-14 !14 Mar 1914,*Manuel Rodríguez*,"Bello Silva, Alejandro ! 
Alejandro Bello Silva",1,Sánchez-Besa biplane,Unknown,Chile !Central Chile,Unknown,x !,Chilean expression: *más perdido que el Teniente Bello*.,1914-03-14,Military training flight
1914-05-23 !23 May 1914,x !,"Hamel, Gustav ! 
Gustav Hamel",1,Morane-Saulnier 80 hp (60 kW) monoplane,Unknown,English Channel *en route* from Hardelot to Hendon Aerodrome,Unknown,x !,Hamel's corpse probably found 6 Jul 1914 (identity unconfirmed),1914-05-23,Delivery flight
1917-11-07 !7 Nov 1917,LZ60,x !,0,Airship19171107 !Zeppelin LZ60,Storm loss,North Sea,Unknown,x !,Zeppelin unmanned when it broke free.,1917-11-07,Broke free of mooring
1919-06-02 !2 June 1919,x !,"James, Mansell Richard !Mansell Richard James",1,Sopwith Camel,Unknown,New England *en route* from Boston to New York,Unknown,x !,"Reports of wreckage (Mount Riga NY, Pittsfield MA, Fort Pond Bay NY)",1919-06-02,Air race (Boston to New York)
1919-12-09 !9 Dec 1919,x !,"Fraser, George Henry !George Henry Fraser",1,Martinsyde Type A Mk.I,Unknown,"Corfu !St George's Bay, Corfu",Unknown,x !,Airframe & corpse of Cedric Howell (pilot) recovered.,1919-12-09,Air race (England to Australia)
1921-03-23 !23 Mar 1921,A-5597 !A-5597,x !,5,"balloon, hydrogen !Hydrogen balloon",Unknown,Florida !Gulf of Mexico off St. Andrews Bay (Florida),Unknown,x !,Balloon found (without crew) 8 Apr 1921.,1921-03-23,Free balloon flight (all-night training)
1923-12-21-22 !21 Dec 1923,Dixmude !Image in de.wikipedia *Dixmude*,x !,49,Airship19231222 !Zeppelin LZ114,Storm damage or mid-air explosion (suspected),"Mediterranean !Vicinity of Pantelleria, Italy *en route* from Gulf of Gabes",Unknown,"Dixmude !Cuers, France[1]","42 crew, 7 passengers missing. Light debris & body of Plessis de Grenedan, 
Jean du !Jean du Plessis de Grenedan (commander) found in sea near Sciacca, 
Sicily, 26 Dec 1923.",1923-12-21,Attempted flight across Sahara Desert
1924-11-15 !15 Nov 1924,*Fokker 4146*,"Cabral, Artur de Sacadura ! 
Artur de Sacadura Cabral",2,Fokker T.III,Crashed in fog (probable),English Channel *en route* from Amsterdam to Lisbon,Unknown,x !,Aircraft debris discovered 18 Nov 1924.,1924-11-15,Delivery flight (Amsterdam to Lisbon)
1927-05-08 !8 May 1927,"Oiseau Blanc ! 
*L'Oiseau Blanc (The White Bird)*","Coli, François !François Coli and Nungesser, Charles ! 
Charles Nungesser",2,Levasseur PL.8,Unknown,"Atlantic, North !N Atlantic",Unknown,"Coli ! 
Étretat, Le Bourget airport
Coli Lake, ONT 51°19′N 93°35′W﻿ / ﻿51.32°N 93.59°W﻿ / 51.32; -93.59",Competing for Orteig Prize. Source.[2],1927-05-08,"Attempted transatlantic flight (1st E to W, 1st Paris to New 
York)"
1927-05-26 !26 May 1927,G-IAAB[3],x !,2,"DH9 D3180 ! 
Airco DH.9 D3180",Unknown,"Turkey !NW Turkey *en route* Konya to Istanbul (between Konya & Eskişehiror 
Kütahya & Bandırma)[4]",Last sighted: Kadınhanı 38°14′N 32°13′E﻿ / ﻿38.23°N 32.22°E﻿ / 38.23; 32.22,x !,"F/O John James Crofts Cocks (b. 18.02.1895)[5][6] and LAC Rowston left 
Lahore, British India on 11 May, for Lympne, England.[7][8][9][10][11][12]",1927-05-26,Private flight
1927-08-19 !19 Aug 1927,*Dallas Spirit* (NX941),"Erwin, William Portwood !William Portwood Erwin",2,Swallow monoplane,Unknown,Oakland !Pacific Ocean *en route* from Oakland to Honolulu,Unknown,x !,"Competitor in Dole Air Race, searching for *Miss Doran* & *Golden Eagle*",1927-08-19,Search and rescue mission
1927-08-31 !31 Aug 1927,*Saint Raphael*,"Hamilton, Leslie !Leslie Hamilton, Löwenstein-Wertheim-Freudenberg, Anne !Princess 
Anne of Löwenstein-Wertheim-Freudenberg and Minchin, Frederick F. !Frederick 
F. Minchin",3,Fokker F.VIIA,Unknown,"Atlantic, North, Newfoundland !N Atlantic in the vicinity of Newfoundland",Unknown,"Hamilton !Hamilton Lake, ONT 50°53′N 90°23′W﻿ / ﻿50.89°N 90.38°W﻿ / 50.89; 
-90.38",,1927-08-31,"Attempted transatlantic flight (1st E to W, Upavon ENG to 
Ottawa CAN)"
1927-09-07 !7 Sep 1927,*Old Glory*,"Bertaud, Lloyd W. !Lloyd W. Bertaud and Hill, J.D. !J.D. Hill",3,Fokker F.VIIA,Overloading (probable),"Atlantic, North, Newfoundland !N Atlantic 960km E of Cape Race, Newfoundland",Unknown,"Bertaud !Old Glory Memorial, Scottdale, PA
Bertaud Lake, ONT 50°54′N 90°43′W﻿ / ﻿50.90°N 90.71°W﻿ / 50.90; -90.71",Wreckage discovered by *SS Kyle* 12 Sep 1927. Sources.[2][13][14],1927-09-07,"Attempted transatlantic flight (Old Orchard Beach, Maineto 
Rome, Italy)"
1927-12-23 !23 Dec 1927,Dawn !*The Dawn*,"Goldsborough, Brice ! Brice Goldsborough, Grayson, Frances Wilson ! Frances 
Wilson Grayson and Omdal, Oskar !Oskar Omdal",4,Sikorsky S-36,Unknown,"Atlantic, North !N Atlantic *en route* from NYC to Newfoundland",Unknown,"Goldsborough !Goldsborough Lake, ONT 50°42′N 89°20′W﻿ / ﻿50.70°N 89.34°W﻿ / 50.70; 
-89.34",Intended to attempt Newfoundland to London flight.,1927-12-23,Attempted transatlantic flight
1928-01-10 !10 Jan 1928,*Aotearoa*,Lieutenant John Moncrieff and Captain George Hood,2,Ryan B-1 Brougham,Unknown,Tasman Sea,Unknown,"A number of streets named 'Moncrieff' or 'Hood' in various New Zealandtowns and cities; Hood 
Aerodrome in Masterton, Wairarapa.","Departed from Sydney, Australia for Trentham, New Zealand. Radio signals 
ceased when the aircraft should have been about two hours out from New 
Zealand.",1928-01-10,First attempted trans-Tasman flight.
1928-03-13 !13 Mar 1928,*Endeavour*,"Hinchliffe, Walter G. R. !Walter G. R. Hinchliffe and Mackay, Elsie !Elsie 
Mackay",2,Stinson SM-1 Detroiter,Unknown,"Atlantic, North !N Atlantic on a course from *en route* from Crookhaven to 
Newfoundland",Unknown,x !,"*Bremen* made 1st E to W transatlantic flight, 12–14 April 1928: Baldonnel 
Aerodrome IRL to Greenly I. CAN.",1928-03-13,"Attempted transatlantic flight (1st E to W, RAF Cranwell 
ENG to Newfoundland)"
1928-05-25 !25 May 1928,"Italia ! 
*Italia*","Pontremoli, Aldo !Aldo Pontremoli",6,Airship19280525 !Semi-rigid airship,Crash landing,Barents Sea,81°14′N 28°14′E﻿ / ﻿81.23°N 28.23°E﻿ / 81.23; 28.23,x !,One person also died in the crash. Subsequent searches unsuccessful.[15],1928-05-25,Polar exploration
1928-06-18 !18 Jun 1928,Latham 47.02,"Amundsen, Roald ! 
Roald Amundsen and Guilbaud, René !René Guilbaud",6,Latham 47,Unknown,Barents Sea,Unknown,x !,"Searching for survivors of *Italia*,",1928-06-18,Search and rescue mission
1928-09-06 !6 Sep 1928,x !,x !,3,"Blackburn R-1 Blackburn ! 
Blackburn R-1 Blackburn",Unknown,North Sea,Unknown,x !,"P/O Samuel Hatton, Lt. Charles Sheldon Booth, RN and J7760 Telegraphist 
Edmund George Bourke Grigson lost; No. 422 (Fleet Spotter) Flight, HMS 
*Argus*[16][17]",1928-09-06,Military reconnaissance
1931-03-27 !27 Mar 1931,x !,x !,2,"Armstrong Whitworth Atlas ! 
Armstrong Whitworth Atlas",Unknown,"English Channel !English Channel near Reculver, Kent on flight from RAF 
Manston.",Unknown,x !,"Lost: F/O Charles Richard Fildes Wintringham[18] & AC1 L.A. Ellard, No. 2 
(Army Co-operation) Sqn RAF. Debris came ashore.[19][20]",1931-03-27,Military patrol
1932-05-30 !30 May 1932,CF-AGL[21],x !,2,Gipsy Moth !de Havilland DH.60 Moth,Unknown,"Newfoundland !Vicinity of St. Anthony, Newfoundland and Labrador",Unknown,x !,"Arthur Sullivan (pilot), Dr Kurt K. (Karl) Kuenhert vanished on pleasure 
flight.[22][23][24][25][26]",1932-05-30,Private flight
1932-08-12 !12 Aug 1932,G-AAKA[27],x !,2,"Avro 616 Avian IVM ! 
Avro 616 Avian IVM",Unknown,"Andaman Sea !Gulf of Martaban *en route* from Moulmein, Burma to Rangoon","Vicinity of 16°56′N 96°56′E﻿ / ﻿16.93°N 96.93°E﻿ / 16.93; 96.93(unconfirmed)
[28]",x !,"English planters, GW Salt and FB Taylor,[29] left KL 3 July,[30][31] to fly 
to England.[32][33][34][35][36][37][38]",1932-08-12,Private flight
1932-09-14 !14 Sep 1932,"American Nurse, The ! 
*The American Nurse* (NR796W)",x !,3,Bellanca Skyrocket !Bellanca Skyrocket J-400 Long-Distance Special,Unknown,"Atlantic, North !North Atlantic, 640km (400mi) west of Cape Finisterre, 
Spain",Unknown,x !,NR796W (as *Miss Veedol*) made 1st non-stop trans-Pacific flight (Oct 1931).,1932-09-14,Attempted New York to Rome flight
1933-06-20 !20 Jun 1933,"Cuatros Vientos ! 
*Cuatro Vientos*","Barberán, Mariano !Mariano Barberán and Collar Serra, Joaquín !Joaquín 
Collar Serra",2,Br.19 TF Super Bidon,Unknown,"Tabasco !Vicinity of Villahermosa, Tabasco, Mexico",Unknown,x !,Aircraft was on final leg of a Seville to Mexico City flight.,1933-06-20,Attempted long-distance flight
1934-12-03 !3 Dec 1934,*Stella Australis* (VH-UXY),"Ulm, Charles ! 
Charles Ulm",3,"Airspeed Envoy ! 
Airspeed Envoy",Ditching (sea) due to fuel starvation,Pacific Ocean in vicinity of Hawaii *en route* from Oakland,Unknown,x !,Most probable that aircraft overflew Hawaii.,1934-12-03,Attempted US to Australia flight
1935-11-08 !8 Nov 1935,"Lady Southern Cross ! 
*Lady Southern Cross*","Kingsford Smith, Charles ! 
Charles Kingsford Smith",2,Lockheed Altair,Unknown,Andaman Sea *en route* from Allahabad to Singapore,Unknown,x !,,1935-11-08,Attempt to break England to Australia speed record
1936-02-10 !10 Feb 1936,*Ville de Buenos Aires* (F-AOIK),"Barrière, Émile !Émile Barrière",6,"Latécoère 301 ! 
Latécoère 301",Unknown,"Saint Peter and Paul Archipelago !S Atlantic, vicinity of Saint Peter and 
Saint Paul Archipelago",Unknown,x !,,1936-02-10,Passenger flight
1936-12-07 !7 Dec 1936,"Croix-du-Sud ! 
*Croix-du-Sud*","Mermoz, Jean !Jean Mermoz",5,Latécoère 300 !Latécoère 300,Unknown,"Atlantic, South !S Atlantic *en route* from Dakar to Natal, Brazil","11°08′N 22°40′W﻿ / ﻿11.13°N 22.67°W﻿ / 11.13; -22.67 (last reported 
position)[39]",x !,"Final radio message (incomplete) reported engine failure minutes after last 
position report.",1936-12-07,Air mail flight
1937-02-15 !15 Feb 1937,K5619[40],x !,3,"Blackburn Shark ! 
Blackburn Shark[41]",Unknown,Mediterranean Sea,Unknown,x !,"Lost: Sub-Lt George Eric Lake, Lt Roderick W. MacDonald & Telegraphist, 
C/JX 133704 William H. Currie, 821 Naval Air Sqn, FAA, HMS *Courageous*[42][
43][44]",1937-02-15,Military patrol
1937-07-02 !2 Jul 1937,"NR 16020 ! 
NR 16020","Earhart, Amelia ! 
Amelia Earhart and Noonan, Fred ! Fred Noonan",2,Lockheed Electra 10E,Fuel Starvation.,"Howland Island !On approach to Howland Island, Pacific Ocean",Vicinity of Howland island,"Earhart ! 
Earhart Light, Howland Island",,1937-07-02,Attempted round-the-world flight
1937-08-13 !13 Aug 1937,DB-A prototype,"Levanevsky, Sigizmund Aleksandrovich ! 
Sigizmund Levanevsky",6,"Bolkhovitinov DB-A ! 
Bolkhovitinov DB-A",Unknown,Arctic *en route* from Moscow to Fairbanks,Unknown,x !,"Possible sighting of wreckage on sea floor, near 70°04′N 145°17′W﻿ / ﻿70.07°N 
145.28°W﻿ / 70.07; -145.28 (1999)",1937-08-13,"Attempted long-distance flight (Moscow to Fairbanks, Alaskavia North 
Pole)"
1938-02-24 !24 Feb 1938,K7734[45],x !,3,"Vickers Wellesley ! 
Vickers Wellesley (Type 292)",Unknown,"North Sea !North Sea (last reported 80km (50m) east of Wick, Scotland *en 
route* to Shetland[46]",Unknown,x !,"Flt. Lt. F.S. Gardner (pilot), F/O G.J.D. Thomson & Sgt. G. Higgs, Long 
Range Development Unit.[47] Debris found Stavanger, Norway 22.03.38.[46]",1938-02-24,Attempted round Britain flight
1938-04-04 !4 Apr 1938,K2944[48],x !,3,"Vickers Vildebeest ! 
Vickers Vildebeest Mark II[49]",Unknown,"Singapore !South China Sea, vicinity of Horsburgh Lighthouse, Pedra Branca, 
Singapore",1°19′49″N 104°24′27″E﻿ / ﻿1.330283°N 104.4074°E﻿ / 1.330283; 104.4074(Horsburgh Lighthouse),x !,"Lost: Sgt. W.D.M Roberts (pilot), AC1 E.J. Beisly & AC1 M.R. Hunter of No. 
100 Sqn RAF, RAF Seletar, Singapore[50]",1938-04-04,Military training flight (night navigation exercise)
1938-04-17 !17 Apr 1938,x !,"Carnegie, Andrew Whitfield !Andrew Carnegie Whitfield",1,"Taylor Cub ! 
Taylor Cub",Unknown,"New York !Vicinity of Long Island *en route* from Roosevelt Field to 
Brentwood",Unknown,x !,x !,1938-04-17,Private flight
1938-07-28 !28 Jul 1938,Hawaii Clipper !*Hawaii Clipper* (NC14714),x !,15,"Martin model 130 ! 
Martin M-130",Unknown,"Philippine !909km E of the Philippine coast, *en route* from Guam to Manila",Unknown,x !,,1938-07-28,Passenger flight
1938-08-06 !6 Aug 1938,K9759[51],x !,1,Hawker Hector !Hawker Hector,Unknown,"North Sea !North Sea off Blackhall Rocks, England",Unknown,x !,"Lost: P/O Douglas St Quentin Robinson, No. 13 Sqn RAF, RAF Odiham[52][53][54
]",1938-08-06,Military navigation flight
1938-08-08 !8 Aug 1938,K8831[51],x !,4,"Avro Anson ! 
Avro Anson",Unknown,"North Sea !North Sea off Bridlington, England",Unknown,x !,"Lost: Sgt. Cecil Joseph Le Patrick Gordon (pilot), AC2 Thomas Charles 
Andrews, AC1 Melville George Brand, AC1 Leslie Freeman, No. 233 Sqn RAF, RAF 
Thornaby[51][52][54]",1938-08-08,Military flight
1938-10-06 !6 Oct 1938,K6971[55],x !,3,"Handley Page H.P.54 Harrow ! 
Handley Page H.P.54 Harrow","Storm conditions (probable, lightning strike possible)","English Channel !English Channel off Dungeness, Kent",Unknown,x !,"Lost: F/O D.A. Hamilton, P/O R.N. Haynes, P/O T.I.S. Munro, LAC C.S. Lodge 
& AC1 T. Prowse, No. 215 Sqn, RAF Honington, Suffolk.[56][57]",1938-10-06,Military flight (night exercise)
1939-05-09 !9 May 1939,K3570[58],x !,2,"Westland Wallace ! 
Westland Wallace",Fouling of tail by towing cable,North Sea !North Sea flying over the Theddlethorpe firing ranges,Unknown,,Lost: P/O M.T. Lloyd & AC J. Flannery of No. 1 Air Armament School.[59],1939-05-09,Military: artillery target tow
1939-08-09 !9 Aug 1939,L4258[60],x !,5,"Vickers Wellington ! 
Vickers Wellington I",Unknown,North Sea !North Sea on a flight from RAF Mildenhall,Unknown,x !,"Lost: F/O T.A. Darling, P/O F.E. Board, A/Sgt A. Linkley, AC1 R.C.B, 
Collins & AC1 J.W. Sadler of No. 149 Sqn RAF.[61]",1939-08-09,Military flight
1939-08-11 !11 Aug 1939,*Shalom* (NX557NN),x !,2,Ryan Foursome !Ryan C-2 Foursome,Unknown,"Atlantic, North !N Atlantic *en route* from the St Peter's NS to Ireland",Unknown,x !,"NYC to Palestine flight by Betar activists Alex Loeb and Richard Decker.[62]
[63]",1939-08-11,Attempted transatlantic flight
1939-08-19 !19 Aug 1939,x !,x !,6,"Supermarine Stranraer ! 
Supermarine Stranraer[64]",Unknown,North Sea !North Sea between northern Scotland and Norway,Unknown,x !,"Lost: Act. Flt. Lt. F.E.R. King, F/O A.F. Barber, LAC D. Fulcher, AC1 
D.G.P. Ash, AC1 L.S. Freshwater & AC1 W.J. Jeckells, No. 209 Sqn RAF, RAF 
Invergordon, Ross & Cromarty.[65][66][67][68]",1939-08-19,Military patrol
1940-03-01 !1 Mar 1940,G-AAGX Hannibal !G-AAGX *Hannibal*,"Whistler, Harold !Harold Whistler",8,"Handley Page H.P.42 ! 
Handley Page H.P.42",Unknown,"Oman, Gulf of !Gulf of Oman *en route* from Jask, Iran and Sharjah, Emirate 
of Sharjah",Unknown,x !,Lost: 4 crew; 4 passengers.,1940-03-01,Passenger flight
1942-08-16 !16 Aug 1942,"L-8 ! 
L-8",x !,2,Airship19420816 !L class blimp,Unknown,San Francisco !Pacific Ocean in vicinity of San Francisco,Unknown,x !,Airship drifted back to land; absence of crew unexplained.,1942-08-16,Military: anti-submarine patrol
1943-07-08 !7–9 July 1943,x !,"Tsukagoshi, Kenji !Kenji Tsukagoshi",8,Tachikawa Ki-77 !Tachikawa Ki-77,Unconfirmed enemy action,Indian Ocean !Over the Indian Ocean,Unknown,,"Lost: crew of 5 & 3 IJA passengers. Likely intercepted by RAF fighters over 
Indian Ocean as flight known to through decrypted communications.",1943-07-08,"Attempted flight: Singapore to Sarabus[69] (now Hvardiiske, 
Crimea) 45°07′N 33°59′E﻿ / ﻿45.12°N 33.98°E﻿ / 45.12; 33.98"
1944-07-26 !26 Jul 1944,41-107470,"Vance ! 
Leon Vance",26,"Douglas C-54A ! 
Douglas C-54A-5-DO",Unknown,"Greenland !N Atlantic SE of Greenland *en route* from Keflavík, Iceland to Stephenville, 
Newfoundland",Unknown,x !,Source.[70],1944-07-26,Military transport (wounded personnel)
